Postcode,Count,Suburb
3000,3082,Melbourne
3175,2891,Bangholme
3977,1876,Botanic Ridge
3350,1822,Alfredton
3030,1803,Derrimut
3121,1607,Burnley
3029,1413,Hoppers Crossing
3072,1397,Preston
3199,1394,Frankston
3150,1336,Glen Waverley
3550,1332,Bendigo
3020,1322,Albion
3058,1297,Coburg
3023,1228,Burnside
3805,1145,Narre Warren
3195,1121,Aspendale
3182,1116,St Kilda
3220,1111,Geelong
3134,1066,Ringwood
3074,1053,Thomastown
3064,1041,Craigieburn
3181,1018,Prahran
3021,1017,Kealba
3216,1011,Belmont
3004,966,Melbourne
3056,937,Brunswick
3156,932,Ferntree Gully
3073,922,Reservoir
3076,917,Epping
3806,907,Berwick
3174,904,Noble Park
3630,902,Caniambo
3825,889,Amor
3008,876,Docklands
3152,875,Wantirna
3006,869,South Wharf
3136,854,Croydon
3011,845,Footscray
3171,838,Springvale
3068,831,Clifton Hill
3122,822,Hawthorn
3810,819,Pakenham
3186,816,Brighton
3166,807,Hughesdale
3053,804,Carlton
3012,796,Brooklyn
3149,792,Mount Waverley
3083,786,Bundoora
3145,785,Caulfield East
3141,776,South Yarra
3500,769,Mildura
3204,768,Bentleigh
3207,766,Port Melbourne
3214,763,Corio
3047,762,Broadmeadows
3046,751,Glenroy
3032,743,Ascot Vale
3065,737,Fitzroy
3551,733,Arnold
3003,727,West Melbourne
3084,721,Eaglemont
3337,703,Harkness
3168,697,Clayton
3124,693,Camberwell
3043,686,Gladstone Park
3101,684,Kew
3130,678,Blackburn
3844,674,Blackwarry
3205,674,South Melbourne
3280,672,Dennington
3178,669,Rowville
3192,651,Cheltenham
3352,646,Blowhard
3051,643,North Melbourne
3002,636,East Melbourne
3170,634,Mulgrave
3044,627,Pascoe Vale
3153,622,Bayswater
3146,616,Glen Iris
3840,608,Driffield
3042,599,Keilor Park
3196,596,Bonbeach
3104,595,Balwyn North
3131,588,Forest Hill
3070,585,Northcote
3173,584,Keysborough
3163,580,Carnegie
3025,574,#N/A
3690,570,West Wodonga
3429,568,Sunbury
3040,565,Essendon
3777,556,Badger Creek
3052,556,Parkville
3931,555,Mornington
3139,549,Beenak
3169,542,Clarinda
3128,542,Box Hill
3215,531,Bell Park
3201,528,Carrum Downs
3054,527,Carlton North
3037,520,Delahey
3976,520,Hampton Park
3155,516,Boronia
3875,514,Bairnsdale
3140,504,Lilydale
3555,502,Big Hill
3066,502,Collingwood
3061,501,Campbellfield
3028,495,Laverton
3194,495,Mentone
3088,492,Briar Hill
3219,491,Breakwater
3108,491,Doncaster
3198,490,Seaford
3939,484,Boneo
3039,481,Moonee Ponds
3723,478,Barjarg
3802,477,Endeavour Hills
3340,470,Balliang
3038,468,Keilor Downs
3803,466,Hallam
3185,464,Elsternwick
3165,464,Bentleigh East
3183,455,Balaclava
3564,455,Bamawm Extension
3144,440,Kooyong
3631,437,Cosgrove
3161,433,Caulfield North
3067,430,#N/A
3026,429,Laverton North
3078,428,Fairfield
3048,424,Coolaroo
3804,416,Narre Warren East
3041,414,Essendon Fields
3177,414,Doveton
3206,407,Middle Park
3031,406,Flemington
3109,404,Doncaster East
3095,400,Eltham
3142,398,Toorak
3218,398,Fyansford
3187,397,Brighton East
3172,396,Dingley Village
3015,394,Newport
3082,393,Mill Park
3167,392,Oakleigh South
3060,388,Fawkner
3055,387,Brunswick West
3912,384,Pearcedale
3071,382,Thornbury
3335,382,Bonnie Brook
3057,381,Brunswick East
3013,380,Yarraville
3081,374,Bellfield
3135,369,Heathmont
3075,368,Lalor
3127,366,Mont Albert
3910,366,Langwarrin
3691,364,Bandiana
3033,364,Keilor East
3356,356,Delacombe
3193,356,Beaumaris
3338,355,Brookfield
3133,350,Vermont
3355,350,Lake Gardens
3151,348,Burwood East
3125,342,Burwood
3936,340,Dromana
3757,335,Eden Park
3678,331,Bobinawarrah
3820,328,Bona Vista
3162,328,Caulfield
3658,325,Broadford
3975,315,Lynbrook
3132,311,Mitcham
3400,311,Horsham
3799,310,Big Pats Creek
3818,307,Drouin
3148,306,Chadstone
3224,306,Leopold
3850,305,Sale
3305,305,Bolwarra
3915,305,Hastings
3660,304,Caveat
3978,304,Cardinia
3129,304,Box Hill North
3754,302,Doreen
3717,291,Flowerdale
3184,288,Elwood
3756,287,Chintin
3677,286,Wangaratta
3782,286,Clematis
3138,286,Mooroolbark
3019,284,Braybrook
3752,283,South Morang
3188,282,Hampton
3934,281,Mount Martha
3079,278,Ivanhoe
3556,271,California Gully
3160,271,Belgrave
3351,267,Berringa
3103,267,Deepdene
3953,265,Berrys Creek
3585,264,Castle Donnington
3444,263,Baynton
3016,262,Williamstown
3995,260,Cape Paterson
3629,259,Coomboona
3442,258,Cadello
3930,255,Mount Eliza
3401,252,Blackheath
3147,248,#N/A
3222,247,Clifton Springs
3018,245,Seaholme
3672,245,Benalla
3465,245,Bowenvale
3059,245,Greenvale
3228,242,Bellbrae
3764,242,Forbes
3212,241,Lara
3941,240,Rye
3143,239,#N/A
3126,237,Canterbury
3437,237,Bullengarook
3106,237,Templestowe
3851,234,Bundalaguah
3137,233,Kilsyth
3190,233,Highett
3179,231,Scoresby
3045,230,Melbourne Airport
3202,229,Heatherton
3377,229,Bulgana
3105,229,Bulleen
3123,228,Hawthorn East
3249,227,Coragulac
3981,227,Catani
3113,227,North Warrandyte
3666,224,Creightons Creek
3191,217,Sandringham
3024,216,Fieldstone
3860,216,Boisdale
3775,216,Christmas Hills
3796,214,Mount Evelyn
3750,214,Wollert
3862,212,Cobbannah
3911,212,Langwarrin South
3770,210,Coldstream
3085,210,Macleod
3217,208,Charlemont
3909,207,Kalimna
3250,206,Colac
3984,206,Caldermeade
3189,205,Moorabbin
3741,203,Bright
3107,203,Templestowe Lower
3783,202,Gembrook
3922,202,Cowes
3089,202,Diamond Creek
3765,201,Montrose
3644,199,Cobram
