postcode,suburb,year2006,year2007,year2008,year2009,year2010,year2011,year2012,year2013,year2014,year2015,year2016,year2017,year2018
3000,Melbourne,249,279,290,287,273,260,248,265,270,267,201,170,23
3002,East Melbourne,53,53,71,61,52,82,54,56,39,42,42,27,4
3003,West Melbourne,57,47,52,50,69,58,68,53,61,69,77,61,5
3004,Melbourne,79,91,92,71,74,87,87,89,76,90,71,55,4
3006,South Wharf,65,68,88,73,74,91,80,70,63,78,62,51,6
3008,Docklands,70,52,75,75,69,83,61,82,87,81,69,63,9
3011,Footscray,51,52,88,68,61,85,72,92,70,69,77,57,3
3012,Brooklyn,54,73,85,69,59,72,62,70,75,67,50,55,5
3013,Yarraville,21,36,29,36,36,30,41,29,22,39,28,32,1
3015,Newport,19,30,39,35,29,23,31,38,49,38,32,28,3
3016,Williamstown,21,16,18,25,27,24,29,19,20,30,14,19,0
3018,Seaholme,17,14,25,17,20,21,20,21,27,30,19,13,1
3019,Braybrook,23,20,31,25,20,25,20,31,24,14,22,27,2
3020,Albion,72,91,99,110,93,126,136,149,131,105,111,90,9
3021,Kealba,76,88,88,87,77,79,101,90,91,83,86,64,7
3022,Ardeer,9,5,9,6,6,7,19,15,8,13,12,9,1
3023,Burnside,75,95,124,105,91,101,105,108,114,108,104,91,7
3024,Fieldstone,11,18,17,18,21,19,19,8,12,26,20,27,0
3025,Altona North,40,47,49,45,45,50,39,60,46,59,54,38,2
3026,Laverton North,29,31,34,28,30,39,41,42,42,43,35,34,1
3027,Williams Landing,6,3,3,9,5,3,12,13,15,10,9,11,1
3028,Laverton,43,33,52,41,35,34,48,38,50,47,46,24,4
3029,Hoppers Crossing,95,106,100,123,110,118,133,118,155,128,123,92,12
3030,Derrimut,155,154,136,137,124,125,153,173,204,159,130,139,14
3031,Flemington,31,24,38,28,35,44,35,41,39,27,36,26,2
3032,Ascot Vale,52,56,66,63,46,65,67,63,61,79,76,46,3
3033,Keilor East,24,27,38,30,25,23,27,27,35,38,45,22,3
3034,Avondale Heights,6,8,10,14,6,9,15,17,15,8,11,12,1
3036,Keilor,19,15,13,15,11,16,20,19,16,15,16,14,2
3037,Delahey,32,42,29,35,43,42,53,50,54,50,60,29,1
3038,Keilor Downs,29,46,38,35,41,35,42,53,36,43,43,26,1
3039,Moonee Ponds,47,30,46,41,33,46,30,54,48,30,44,25,7
3040,Essendon,49,34,38,51,51,56,56,42,46,51,52,35,4
3041,Essendon Fields,35,33,27,41,36,23,34,37,50,39,36,22,1
3042,Keilor Park,61,46,30,42,41,53,51,59,68,56,52,38,2
3043,Gladstone Park,58,50,48,63,61,51,49,50,53,73,71,54,5
3044,Pascoe Vale,43,39,49,47,56,54,66,53,53,57,58,48,4
